,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65
32131,Nimrod Hilliard,North Carolina Central,MEAC,29,88.0,114.6,22.4,54.3,59.95,1.9,8.3,36.8,22.6,84,97,0.866,92,182,0.505,31,73,0.425,1.8,2.0,38.0,Sr,Jun-00,11,3.61134,113.998,2.2,2015,38588,all,,2.20222911,56.0,110.0,36.0,72.0,0.5091,0.5,0.0,0.0,,,94.3365,100.444,3.40466,162.293,2.58498,2.45204,0.132932,4.24999,35.3871,3.49324,0.756754,0.4839,2.4516,2.9355,6.3226,1.129,0.4839,12.0323,Pure PG,4.51463
32233,Trey Lewis,Cleveland St.,Horz,32,88.2,109.3,24.2,54.2,57.1,2.9,12.9,17.5,17.4,81,107,0.757,86,183,0.47,85,211,0.403,0.6,2.1,27.2,Jr,2-Jun,3,3.65846,115.292,2.2,2015,41081,all,24.6,1.24358135,63.0,113.0,18.0,56.0,0.5575,0.3214,2.0,2.0,1.0,,101.303,101.394,3.18346,179.348,2.56231,3.28368,-0.721368,4.22748,35.4118,4.57075,-0.343274,0.7647,3.5882,4.3529,2.8529,1.2353,0.1471,16.3235,Combo G,11.8569
32340,Anthony Livingston,Arkansas St.,SB,28,89.1,99.3,24.8,49.6,53.26,8.5,22.3,5.5,18.0,99,145,0.683,133,265,0.502,26,82,0.317,2.9,0.7,41.8,So,9-Jun,24,2.31854,104.147,2.5,2015,44977,all,,0.2820389,93.0,151.0,40.0,114.0,0.6159,0.3509,1.0,1.0,1.0,,100.401,102.493,3.08117,199.543,-1.82538,-1.17269,-0.652696,0.0663626,35.8276,1.27057,-1.20421,2.6552,7.3793,10.0345,0.7586,0.4828,1.0,15.931,PF/C,4.87224
32479,Obi Emegano,Oral Roberts,Sum,27,84.4,113.5,29.7,48.2,56.26,3.2,12.7,10.8,10.0,195,228,0.855,151,335,0.451,46,121,0.38,0.8,1.8,50.0,Jr,3-Jun,15,5.15696,127.967,2.7,2016,19615,all,,0.94118266,37.0,69.0,114.0,266.0,0.5362,0.4286,7.0,9.0,0.7778,,110.79,109.074,2.50033,165.944,1.35836,3.71899,-2.36063,4.55455,36.4074,5.5052,-0.950645,1.0,4.037,5.037,1.7778,1.1481,0.2963,23.5185,Wing G,7.01309
32503,Brian Sullivan,Davidson,A10,29,83.8,111.3,18.3,51.6,54.6,1.1,9.7,16.5,11.1,54,65,0.831,33,103,0.32,95,237,0.401,0.4,1.4,19.1,Sr,11-May,3,3.22019,112.053,1.9,2016,20660,all,,2.53851875,16.0,32.0,18.0,73.0,0.5,0.2466,0.0,0.0,,,111.867,107.947,2.69595,171.834,2.35325,3.50169,-1.14843,2.07628,37.1379,2.81377,-0.737484,0.3793,3.3103,3.6897,3.4138,0.931,0.1379,13.9655,Combo G,12.322
32506,Tre Demps,Northwestern,B10,32,90.8,105.7,23.2,47.4,48.97,1.6,9.4,18.2,8.8,51,77,0.662,117,258,0.453,72,217,0.332,0.1,1.1,16.2,Sr,3-Jun,14,3.09934,111.548,0.9,2016,20726,all,38.0,2.66655738,62.0,91.0,55.0,167.0,0.6813,0.3293,4.0,4.0,1.0,,104.624,102.317,3.35766,174.27,1.60899,2.33917,-0.730176,2.40455,37.0312,2.62467,-0.220122,0.5,3.0625,3.5625,3.25,0.6562,0.0312,15.6562,Combo G,11.3395
32517,Austin Tillotson,Colgate,Pat,29,86.4,110.3,25.8,51.3,54.81,2.1,9.6,33.3,16.5,74,93,0.796,103,201,0.512,54,158,0.342,0.1,3.4,25.9,Sr,Jun-00,1,3.51562,116.288,2.1,2016,21472,all,,2.15492388,64.0,107.0,39.0,94.0,0.5981,0.4149,0.0,0.0,,,106.61,110.484,2.21423,178.743,2.17431,3.82286,-1.64855,2.28442,35.1379,3.00227,-0.717858,0.6207,2.6552,3.2759,5.2759,1.9655,0.0345,15.2414,Pure PG,9.48082
32522,Max Landis,IPFW,Sum,32,93.5,120.4,22.7,59.3,63.06,0.4,6.1,19.6,14.8,121,149,0.812,70,155,0.452,121,269,0.45,0.1,1.4,35.1,Sr,2-Jun,10,4.79535,123.913,1.4,2016,21687,all,,1.67604108,31.0,68.0,39.0,87.0,0.4559,0.4483,0.0,0.0,,,112.589,112.648,2.11636,172.299,1.57262,5.15771,-3.58509,3.17919,37.6875,5.35356,-2.17436,0.125,2.0,2.125,3.7188,0.9062,0.0312,19.5,Scoring PG,12.7097
32533,Michael Gbinije,Syracuse,ACC,37,93.8,111.2,24.8,55.4,57.36,3.2,8.7,26.5,18.5,106,160,0.662,134,255,0.525,91,233,0.391,1.1,3.1,32.8,Sr,7-Jun,0,4.74407,123.404,2.8,2016,21893,all,94.6,1.52382119,98.0,151.0,36.0,105.0,0.649,0.3429,22.0,26.0,0.8462,49.0,100.689,94.4563,4.49088,236.447,6.88167,5.11005,1.77162,7.60032,37.8919,5.0006,2.59972,1.0811,3.0,4.0811,4.3243,1.9189,0.3514,17.4865,Scoring PG,10.1773
32545,Austin McBroom,Eastern Washington,BSky,32,94.2,114.3,26.9,54.9,59.93,2.0,5.9,17.9,16.2,151,182,0.83,93,197,0.472,112,278,0.403,0.0,1.5,38.3,Sr,Jun-00,5,4.38806,120.512,1.7,2016,22502,all,48.0,1.20653915,51.0,98.0,42.0,99.0,0.5204,0.4242,0.0,0.0,,,115.653,119.408,1.24888,161.811,-0.630073,4.239,-4.86907,0.584227,37.6875,4.42232,-3.83809,0.625,1.8438,2.4688,3.4688,1.0,0.0,21.0312,Scoring PG,13.1539
32550,Trey Freeman,Old Dominion,CUSA,38,87.1,111.8,31.9,46.3,50.25,1.8,12.0,21.4,7.1,141,170,0.829,272,607,0.448,51,146,0.349,0.4,1.9,22.6,Sr,2-Jun,20,4.66759,125.555,2.0,2016,22708,all,,2.39574085,49.0,74.0,222.0,532.0,0.6622,0.4173,0.0,0.0,,,100.803,100.214,3.51028,205.977,3.14482,3.91702,-0.772205,6.85501,35.0789,6.16598,0.689024,0.5526,3.6579,4.2105,3.0263,1.0263,0.1053,22.0526,Combo G,6.907
32556,Quincy Ford,Northeastern,CAA,28,75.4,103.6,26.4,49.0,52.84,5.4,18.8,17.9,14.3,92,124,0.742,90,196,0.459,65,187,0.348,2.7,2.4,32.4,Sr,8-Jun,12,3.03393,112.339,2.4,2016,22996,all,45.2,1.2096826,57.0,88.0,33.0,108.0,0.6477,0.3056,11.0,11.0,1.0,,100.878,99.2714,3.54855,198.56,4.71963,2.69318,2.02645,4.08539,35.6786,3.16651,0.918881,1.5714,5.6071,7.1786,2.6786,1.4286,0.8929,16.6786,Wing F,11.3519
32562,Mike Brown,Western Carolina,SC,31,86.6,101.9,28.2,44.3,51.38,6.8,12.1,21.9,18.2,154,191,0.806,128,301,0.425,41,127,0.323,1.2,2.5,44.6,Sr,3-Jun,2,2.8017,110.255,3.8,2016,23194,all,,1.09182935,81.0,147.0,47.0,154.0,0.551,0.3052,1.0,1.0,1.0,,105.601,105.045,2.87564,197.582,0.980463,1.07974,-0.0992809,1.57184,35.3548,2.02673,-0.454898,2.129,3.6452,5.7742,3.4516,1.5484,0.3548,17.1935,Combo G,6.64313
32589,A.J. English,Iona,MAAC,28,75.8,114.3,30.4,54.0,59.76,1.7,13.2,34.3,18.2,158,189,0.836,96,185,0.519,94,254,0.37,1.4,2.4,43.1,Sr,4-Jun,5,5.14023,128.229,2.4,2016,24085,all,,1.72279674,74.0,127.0,22.0,58.0,0.5827,0.3793,2.0,2.0,1.0,,102.084,103.661,3.15063,196.221,6.59384,6.38793,0.205904,7.09118,35.8929,6.54215,0.54903,0.5357,4.5,5.0357,6.2143,1.5714,0.5,22.5714,Scoring PG,13.9558
32590,Derrick Colter,Duquesne,A10,33,89.7,104.5,26.2,48.5,54.12,1.6,8.7,24.2,18.6,139,168,0.827,109,241,0.452,79,228,0.346,0.6,1.5,35.8,Sr,11-May,1,3.24342,113.009,2.2,2016,24093,all,,1.42992855,71.0,144.0,38.0,97.0,0.4931,0.3918,1.0,1.0,1.0,,109.565,107.913,2.62011,202.338,0.579958,2.23787,-1.65792,0.914245,36.1515,2.29453,-1.38028,0.5152,3.1515,3.6667,4.6364,0.9697,0.2121,18.0,Scoring PG,10.3764
32608,Marvelle Harris,Fresno St.,MWC,33,91.0,107.5,29.3,46.5,51.74,1.4,12.9,26.4,11.7,171,229,0.747,163,365,0.447,65,195,0.333,1.8,3.5,40.9,Sr,4-Jun,23,4.37574,121.584,3.3,2016,24240,all,,2.01369745,109.0,184.0,54.0,181.0,0.5924,0.2983,9.0,10.0,0.9,,98.675,97.7055,3.94932,249.201,5.92418,4.48739,1.43679,6.86057,36.9697,4.87572,1.98486,0.4848,4.2121,4.697,4.4545,2.2424,0.5455,20.9697,Scoring PG,9.14733
32639,Yonel Brown,Kennesaw St.,ASun,29,96.7,103.0,24.6,50.0,53.42,2.1,8.2,13.0,15.2,90,115,0.783,116,252,0.46,77,211,0.365,0.0,1.6,24.8,Sr,9-May,4,2.74332,107.407,2.1,2016,24422,all,,0.9199985,56.0,109.0,60.0,143.0,0.5138,0.4196,0.0,0.0,,,116.228,114.726,1.91388,151.677,-1.52859,1.5909,-3.11948,-0.763622,38.8276,1.89973,-2.66336,0.7241,2.7931,3.5172,2.3793,1.069,0.0,19.069,Combo G,10.4627
32676,Chris Fowler,Central Michigan,MAC,24,74.0,111.1,25.8,49.1,55.34,1.9,10.7,32.5,16.8,108,137,0.788,111,223,0.498,21,67,0.313,0.5,2.1,47.2,Sr,1-Jun,15,4.10422,118.947,3.4,2016,24770,all,,2.21541179,57.0,95.0,54.0,128.0,0.6,0.4219,0.0,1.0,0.0,,109.486,109.436,2.50468,149.911,2.1526,2.83762,-0.685019,2.01661,37.1667,2.24027,-0.223665,0.625,3.5417,4.1667,6.0,1.3333,0.1667,16.375,Scoring PG,4.4634
32716,Matt Bohannon,Northern Iowa,MVC,35,87.3,117.0,15.2,59.9,62.23,0.1,14.1,5.7,7.7,52,64,0.813,41,71,0.577,92,228,0.404,0.3,1.4,21.4,Sr,4-Jun,5,3.18689,113.264,2.2,2016,25157,all,70.4,1.43494136,26.0,34.0,15.0,37.0,0.7647,0.4054,0.0,0.0,,,101.158,100.061,3.50065,201.82,4.53184,3.40529,1.12654,3.99647,35.2857,2.87218,1.1243,0.0286,4.1429,4.1714,0.9429,0.8,0.0857,11.7143,Wing G,11.5728
32725,Dion Wright,St. Bonaventure,A10,31,92.0,113.1,22.1,49.5,53.62,8.9,18.4,6.9,10.2,97,122,0.795,175,350,0.5,24,76,0.316,2.2,1.5,28.6,Sr,7-Jun,21,3.93424,117.767,3.0,2016,25218,all,,0.84444756,113.0,187.0,62.0,163.0,0.6043,0.3804,17.0,21.0,0.8095,,103.017,101.408,3.51799,223.369,2.20186,2.23895,-0.0370905,2.54659,37.0968,3.16129,-0.6147,2.9032,6.1935,9.0968,1.2258,0.9677,0.7419,16.7419,Wing F,3.8105
32770,Cleveland Thomas,Hartford,AE,29,77.9,113.6,26.2,53.9,58.98,3.2,17.7,19.7,10.9,126,152,0.829,97,216,0.449,79,184,0.429,0.6,1.9,38.0,Jr,4-Jun,5,4.03088,120.796,2.8,2016,25568,all,,1.58825209,41.0,80.0,50.0,123.0,0.5125,0.4065,2.0,3.0,0.6667,,109.027,113.252,1.87093,190.533,2.36093,4.3567,-1.99577,4.22777,35.069,6.11496,-1.88719,1.0,5.4828,6.4828,2.7931,1.1724,0.2069,19.2069,Wing G,10.3326
32810,Shane McLaughlin,Bryant,NEC,30,90.9,88.2,16.9,46.8,48.67,0.9,9.6,28.3,29.5,39,68,0.574,58,134,0.433,25,70,0.357,0.1,1.5,33.3,Sr,1-Jun,4,-0.577226,82.383,2.3,2016,25926,all,,1.73405033,31.0,64.0,27.0,70.0,0.4844,0.3857,0.0,0.0,,,113.794,118.302,1.34116,159.451,-6.41042,-3.48961,-2.92081,-6.44011,36.6667,-3.89694,-2.54316,0.3,3.1667,3.4667,5.4333,0.9667,0.0333,7.6667,Scoring PG,3.67144
32818,Jesse Reed,American,Pat,31,93.8,99.6,20.9,53.1,56.32,2.3,13.7,14.3,19.9,73,99,0.737,83,173,0.48,54,136,0.397,1.8,1.6,32.0,Sr,5-Jun,14,1.48017,98.3216,2.6,2016,26020,all,,0.8666612,56.0,105.0,27.0,68.0,0.5333,0.3971,1.0,1.0,1.0,,105.212,107.828,2.75218,182.657,-1.32485,-1.1784,-0.146445,-1.31315,37.8387,-0.28975,-1.0234,0.6452,3.9032,4.5484,2.0968,0.9355,0.5806,12.9355,Wing G,7.53936
32842,Josh Adams,Wyoming,MWC,29,88.2,108.6,36.5,53.2,60.03,2.1,15.3,32.6,17.2,208,250,0.832,115,231,0.498,92,245,0.376,1.8,2.4,52.5,Sr,2-Jun,14,5.85135,133.165,3.1,2016,26291,all,,1.08927792,78.0,115.0,37.0,116.0,0.6783,0.319,19.0,22.0,0.8636,,104.841,103.904,3.1726,206.944,7.37347,7.0123,0.361172,7.33205,36.9655,6.99475,0.337298,0.6207,4.9655,5.5862,4.2069,1.4483,0.5862,24.6207,Scoring PG,13.7704
32897,Ahmad Abdullah,North Carolina A&T,MEAC,31,86.4,102.8,16.8,45.9,51.12,1.9,8.5,21.0,18.4,69,87,0.793,61,164,0.372,38,93,0.409,0.1,1.0,33.9,Sr,Jun-00,12,0.992163,95.2306,2.2,2016,26694,all,,1.86205236,30.0,74.0,31.0,90.0,0.4054,0.3444,0.0,0.0,,,114.07,119.835,1.10058,144.505,-3.67931,-0.492648,-3.18666,-3.76934,35.2581,-1.00495,-2.76438,0.6129,2.6452,3.2581,3.4839,0.5806,0.0323,9.8387,Scoring PG,5.02423
32948,David Walker,Northeastern,CAA,32,94.5,121.8,22.2,57.7,62.98,1.9,10.3,23.8,13.5,134,155,0.865,81,160,0.506,96,230,0.417,1.0,2.2,39.7,Sr,6-Jun,4,5.15565,126.268,1.0,2016,27082,all,,2.08061932,51.0,93.0,29.0,66.0,0.5484,0.4394,10.0,12.0,0.8333,,105.54,103.981,3.27573,204.813,6.21751,6.01165,0.205857,7.11183,39.125,6.33001,0.781813,0.5938,3.375,3.9688,4.0312,1.4375,0.375,18.25,Scoring PG,11.1402
32956,Jeffery Moss,Murray St.,OVC,29,90.6,116.6,19.3,55.9,58.82,3.1,11.3,11.7,11.4,67,86,0.779,65,137,0.474,77,186,0.414,0.3,1.2,26.6,Sr,4-Jun,2,3.36204,113.705,2.4,2016,27120,all,,1.52636802,36.0,50.0,29.0,132.0,0.72,0.2197,4.0,4.0,1.0,,106.984,108.36,2.58899,155.949,2.06682,3.42616,-1.35933,3.15786,36.3793,4.01153,-0.853671,0.931,3.1379,4.069,2.0,0.7241,0.1034,14.7586,Wing G,10.831
32958,Buddy Hield,Oklahoma,B12,37,87.6,121.5,28.4,62.3,66.45,4.0,13.0,12.7,17.1,176,200,0.88,154,279,0.552,147,322,0.457,1.4,1.8,33.3,Sr,4-Jun,24,6.84167,143.253,2.3,2016,27126,all,69.0,0.66369796,119.0,178.0,35.0,101.0,0.6685,0.3465,18.0,22.0,0.8182,6.0,100.663,94.0957,4.2368,240.576,8.86581,7.83954,1.02627,11.852,35.3784,10.2417,1.61038,1.2432,4.4865,5.7297,2.027,1.1351,0.4865,25.0,Wing G,13.8488
32961,Christopher Hyder,Southern,SWAC,32,90.5,112.1,15.6,49.3,55.75,1.1,9.7,24.5,17.4,91,118,0.771,96,182,0.527,9,40,0.225,0.2,3.9,53.2,Sr,11-May,0,1.85705,101.734,2.7,2016,27204,all,,2.76355605,61.0,106.0,35.0,76.0,0.5755,0.4605,0.0,0.0,,,98.3091,104.344,3.08301,223.516,2.1236,0.983005,1.1406,1.04286,36.2188,-0.951038,1.9939,0.3438,3.2188,3.5625,4.75,2.4688,0.0625,9.6875,Scoring PG,1.99805
32980,D'Vauntes Smith-Rivera,Georgetown,BE,33,87.5,111.7,23.8,50.1,55.07,2.3,9.3,27.5,14.3,116,143,0.811,99,195,0.508,73,221,0.33,0.9,2.4,34.4,Sr,3-Jun,4,4.34534,122.74,2.7,2016,27305,all,93.0,2.1739442,49.0,72.0,51.0,123.0,0.6806,0.4146,0.0,0.0,,,104.212,98.9773,3.64071,197.794,6.14851,5.59806,0.55045,5.7877,35.3939,4.6534,1.1343,0.6667,2.9697,3.6364,4.5455,1.4545,0.303,16.1515,Scoring PG,10.8871
32988,D.J. Balentine,Evansville,MVC,33,92.5,104.7,29.4,49.8,54.65,2.8,7.3,25.7,14.5,153,196,0.781,177,363,0.488,58,167,0.347,0.8,1.1,37.0,Sr,3-Jun,31,4.04779,118.491,1.8,2016,27393,all,,1.54942694,73.0,110.0,104.0,256.0,0.6636,0.4063,1.0,1.0,1.0,,99.4692,101.233,3.55882,193.188,2.57606,2.96377,-0.38771,3.18661,37.2727,3.65855,-0.471934,0.7879,2.5152,3.303,4.2727,0.7273,0.2727,20.6364,Scoring PG,7.83495
33046,Trevor Cooney,Syracuse,ACC,37,90.1,105.0,19.5,45.5,49.66,1.8,6.0,13.3,13.1,87,108,0.806,58,171,0.339,92,260,0.354,0.4,2.7,25.1,Sr,4-Jun,10,2.78905,109.259,1.5,2016,27720,all,79.2,1.53571198,33.0,72.0,25.0,98.0,0.4583,0.2551,1.0,1.0,1.0,,103.48,97.0741,3.98732,199.606,3.1151,2.42541,0.689692,3.18922,36.4054,1.4985,1.69072,0.5676,1.973,2.5405,2.3243,1.6216,0.1351,12.9459,Combo G,11.823
33074,Micah Mason,Duquesne,A10,32,86.2,121.3,21.9,60.2,62.78,0.7,8.1,24.7,14.7,75,89,0.843,85,156,0.545,116,274,0.423,0.2,1.5,20.7,Sr,2-Jun,22,4.63683,124.529,2.2,2016,27933,all,,2.13232938,51.0,77.0,34.0,79.0,0.6623,0.4304,0.0,0.0,,,110.039,108.379,2.53965,190.102,3.81541,5.78532,-1.96991,4.66904,35.8438,5.5313,-0.862265,0.2188,2.9062,3.125,4.5312,0.9688,0.0625,18.5312,Scoring PG,12.9762
33090,Alex Hamilton,Louisiana Tech,CUSA,31,88.0,113.2,28.6,53.1,58.26,3.2,13.6,35.6,17.2,191,269,0.71,166,297,0.559,33,109,0.303,1.4,2.9,66.3,Sr,4-Jun,0,4.31688,122.306,1.9,2016,28112,all,,1.94001487,138.0,213.0,28.0,84.0,0.6479,0.3333,12.0,12.0,1.0,,99.3353,101.515,3.35139,228.709,5.91402,4.60175,1.31227,6.54106,35.9032,4.92966,1.61139,1.0645,4.5161,5.5806,6.2581,1.871,0.5161,20.0645,Scoring PG,5.34246
33131,John Papale,Boston University,Pat,33,90.8,116.6,14.8,55.3,57.04,0.8,7.2,11.4,9.0,33,40,0.825,44,100,0.44,92,229,0.402,0.5,0.9,12.2,Sr,3-Jun,2,2.38097,105.852,1.5,2016,28494,all,,2.49994113,14.0,22.0,30.0,78.0,0.6364,0.3846,0.0,0.0,,,109.404,113.443,1.95506,169.707,-0.0137503,2.24778,-2.26153,0.172155,36.7273,1.81741,-1.64526,0.2424,2.3939,2.6364,2.1212,0.6061,0.1818,12.0303,Combo G,10.8609
33137,Marcus Posley,St. Bonaventure,A10,31,92.3,111.5,26.1,50.5,55.43,2.1,8.1,20.4,14.4,133,165,0.806,115,243,0.473,82,228,0.36,0.3,2.0,35.0,Sr,Jun-00,3,4.44752,121.666,2.6,2016,28534,all,,1.50665456,95.0,167.0,20.0,76.0,0.5689,0.2632,0.0,0.0,,,107.603,105.922,2.95174,182.388,2.75343,4.51722,-1.76379,3.47348,37.2258,4.23069,-0.757209,0.6774,2.7419,3.4194,3.6452,1.2581,0.0968,19.6452,Scoring PG,11.3944
33151,Shane Richards,Manhattan,MAAC,31,89.6,104.3,23.7,48.5,55.56,2.1,11.1,10.8,13.7,146,170,0.859,76,183,0.415,78,215,0.363,0.3,1.5,42.7,Sr,5-Jun,0,2.57207,107.63,2.7,2016,28654,all,,0.82537027,37.0,80.0,39.0,103.0,0.4625,0.3786,0.0,0.0,,,107.568,109.571,2.41208,173.938,-0.524022,1.23208,-1.75611,0.235454,36.2903,1.98877,-1.75332,0.6129,3.1935,3.8065,1.6774,0.9355,0.0968,17.1613,Wing G,11.0883
33168,Jaaron Simmons,Ohio,MAC,34,90.9,108.4,26.5,51.2,57.84,0.8,10.0,40.3,23.2,160,204,0.784,138,286,0.483,32,77,0.416,0.0,1.3,56.2,So,1-Jun,2,3.8378,117.383,3.4,2016,28768,all,45.8,1.96295271,96.0,172.0,42.0,114.0,0.5581,0.3684,0.0,0.0,,,108.885,109.847,2.41058,196.508,0.487611,2.43506,-1.94745,0.231815,36.6176,1.82556,-1.59374,0.2353,3.3529,3.5882,7.7941,0.8235,0.0,15.6471,Pure PG,3.49891
33210,Josh Brown,Temple,Amer,33,88.8,109.1,14.9,46.9,50.5,1.2,13.5,25.7,15.7,50,68,0.735,72,162,0.444,27,78,0.346,1.3,2.1,28.3,Jr,3-Jun,1,2.17811,104.62,2.2,2016,29058,all,69.4,3.52184513,29.0,55.0,43.0,107.0,0.5273,0.4019,1.0,1.0,1.0,,100.484,96.9669,3.95714,210.641,4.06704,1.00583,3.06122,2.80599,36.2121,-0.279306,3.08529,0.3939,4.4242,4.8182,4.9091,1.2424,0.4545,8.3333,Scoring PG,3.93385
33249,Demetrius Jackson,Notre Dame,ACC,35,87.1,115.9,24.4,51.4,55.97,3.1,7.9,25.1,15.3,113,139,0.813,139,265,0.525,54,163,0.331,0.8,2.1,32.5,Jr,1-Jun,11,5.04428,127.546,2.2,2016,29232,all,93.2,2.15791645,92.0,146.0,47.0,119.0,0.6301,0.395,16.0,16.0,1.0,45.0,111.075,104.203,3.07645,185.99,5.14345,5.5568,-0.413348,5.14039,35.9429,4.93665,0.203746,0.8857,2.5714,3.4571,4.6857,1.2286,0.2857,15.8,Scoring PG,7.98282
33267,Keon Johnson,Winthrop,BSth,29,88.6,114.9,24.2,53.0,59.84,1.8,10.6,14.0,14.4,159,191,0.832,93,186,0.5,68,182,0.374,0.0,1.5,51.9,Jr,7-May,5,3.68655,116.928,2.3,2016,29339,all,,1.12118294,48.0,96.0,45.0,90.0,0.5,0.5,0.0,0.0,,,107.157,110.296,2.2955,170.646,0.679793,3.01914,-2.33935,1.43652,35.4483,3.06844,-1.63192,0.5517,3.7586,4.3103,2.5517,0.9655,0.0,18.931,Combo G,9.6596
33291,John Simons,Central Michigan,MAC,30,87.7,115.4,14.0,53.7,57.21,5.2,17.5,4.6,11.6,53,68,0.779,18,39,0.462,70,190,0.368,0.5,1.0,29.7,Sr,8-Jun,34,2.19273,104.967,2.5,2016,29431,all,,0.93100234,14.0,28.0,4.0,11.0,0.5,0.3636,0.0,1.0,0.0,,109.361,109.501,2.3689,178.66,1.64769,2.20178,-0.554088,0.774813,35.2333,1.95462,-1.17981,1.6333,5.4667,7.1,0.9,0.5667,0.1667,9.9667,Stretch 4,10.6801
33421,Jairus Lyles,UMBC,AE,21,59.0,104.8,31.6,52.5,55.95,4.1,14.5,20.0,14.6,104,149,0.698,132,249,0.53,38,111,0.342,0.0,3.9,41.4,So,2-Jun,10,3.64113,116.258,3.1,2016,30153,all,60.8,0.9515987,99.0,162.0,33.0,87.0,0.6111,0.3793,0.0,0.0,,,108.967,113.451,1.9269,156.273,0.675392,3.02903,-2.35363,1.44731,36.2381,3.42251,-1.9752,1.2857,4.2381,5.5238,2.8095,2.5238,0.0,22.9524,Combo G,8.26024
33437,Jeremy Senglin,Weber St.,BSky,32,89.4,112.9,23.8,61.2,61.67,1.2,9.9,17.3,15.5,93,152,0.612,100,177,0.565,101,234,0.432,0.2,1.1,37.0,Jr,2-Jun,30,3.36094,114.048,2.0,2016,30237,all,8.0,1.18918919,65.0,100.0,35.0,77.0,0.65,0.4545,4.0,5.0,0.8,,102.275,103.235,3.19133,182.297,2.93778,3.22063,-0.282851,4.04909,36.3125,4.11294,-0.063854,0.3438,3.3438,3.6875,2.75,0.6562,0.0938,18.625,Combo G,11.6476
33481,Nigel Hayes,Wisconsin,B10,35,89.9,103.6,26.9,41.2,49.15,6.4,13.1,18.2,14.5,190,258,0.736,122,305,0.4,39,133,0.293,1.2,1.9,58.9,Jr,8-Jun,10,3.78339,117.292,2.2,2016,30516,all,72.8,1.31646798,62.0,118.0,60.0,187.0,0.5254,0.3209,11.0,14.0,0.7857,,100.128,94.4579,4.30291,211.782,4.77488,2.5517,2.22317,4.80727,36.2,3.17273,1.63453,1.9714,3.8571,5.8286,2.9714,1.1143,0.4,15.7429,Wing F,6.55075
33525,Jamaya Burr,McNeese St.,Slnd,26,88.9,97.7,24.5,45.1,53.32,2.3,8.4,21.0,22.1,140,184,0.761,84,200,0.42,29,83,0.349,0.1,2.2,65.0,Jr,Jun-00,1,1.4336,98.5731,2.4,2016,30773,all,,1.05494288,64.0,135.0,20.0,65.0,0.4741,0.3077,0.0,0.0,,,112.625,115.334,1.68146,147.915,-3.49526,-0.495631,-2.99963,-3.1838,36.4231,-0.499778,-2.68402,0.8077,2.7692,3.5769,3.6923,1.3846,0.0385,15.1923,Scoring PG,4.93135
33533,Jack Gibbs,Davidson,A10,30,83.4,108.0,33.9,50.5,55.65,2.6,9.8,30.6,15.1,155,184,0.842,160,317,0.505,80,238,0.336,0.2,2.8,33.2,Jr,Jun-00,12,5.37827,130.513,2.2,2016,30844,all,,1.51017846,84.0,143.0,75.0,173.0,0.5874,0.4335,0.0,0.0,,,108.906,105.122,2.94321,196.792,5.02706,6.05157,-1.02451,5.48386,35.7333,5.87594,-0.392084,0.8667,3.2,4.0667,4.9333,1.7667,0.0667,23.8333,Scoring PG,12.4333
33536,Bryce Alford,UCLA,P12,32,89.5,113.0,22.2,47.4,53.52,0.8,10.1,25.2,13.6,128,154,0.831,84,209,0.402,73,199,0.367,0.0,1.1,37.7,Jr,3-Jun,20,4.29521,121.534,1.4,2016,30861,all,21.0,2.65075183,31.0,80.0,53.0,129.0,0.3875,0.4109,0.0,1.0,0.0,,109.722,103.091,3.2132,180.849,4.07893,4.6761,-0.59717,4.53759,36.2188,4.43918,0.0984116,0.2812,3.5312,3.8125,5.2188,0.7188,0.0,16.0938,Scoring PG,9.537
33543,Khallid Hart,Marist,MAAC,28,83.7,114.1,25.5,54.2,61.25,1.1,7.3,13.1,14.0,169,201,0.841,92,181,0.508,72,188,0.383,0.2,2.4,54.5,Jr,2-Jun,5,4.18178,120.597,2.5,2016,30921,all,,0.92062219,70.0,121.0,22.0,60.0,0.5785,0.3667,2.0,3.0,0.6667,,113.007,116.136,1.59392,165.889,-0.202736,3.73508,-3.93782,1.77554,36.4643,3.77272,-1.99718,0.3571,2.2857,2.6429,2.0714,1.5,0.0714,20.3214,Combo G,10.6353
33571,Damon Lynn,NJIT,ASun,34,94.8,106.0,24.1,48.1,53.18,1.0,7.9,17.3,12.5,134,161,0.832,80,173,0.462,111,340,0.326,0.2,2.4,31.4,Jr,11-May,5,2.73906,107.77,1.3,2016,31110,all,,1.60870196,55.0,109.0,25.0,64.0,0.5046,0.3906,0.0,0.0,,,106.605,107.043,2.88411,222.419,0.221665,1.93124,-1.70957,1.10949,38.2059,1.87814,-0.768656,0.3235,2.7353,3.0588,3.2647,1.6471,0.0588,18.4412,Combo G,14.826
